Key,Type,Parent,Title,Objective,Files,Dependencies,AcceptanceCriteria,Testing,Complexity,Priority,Phase,Milestone,Labels
E14-S3-T1,Task,E14,Surfaces generated from canonical,No hand-authored surfaces,web events/*; web calendar; components/*,E14-S1-T1,all surfaces from canonical; revalidate; register out,e2e,3,P1,1,M2,type:task;area:frontend
E15-S1,Story,E15,FTS + filters on projection,,,,,,5,P1,2,M3,type:story;area:search
E15-S2,Story,E15,Ranking relevance x trust x freshness,,,,,,5,P1,2,M3,type:story;area:search
E15-S3,Story,E15,Fix indexed search (ILIKE OR-branch),,,,,,2,P1,2,M3,type:story;area:search
E15-S4,Story,E15,Search health metrics,,,,,,3,P2,2,M3,type:story;area:observability
E16-S1,Story,E16,Organizer & Venue entities + backfill,,,,,,5,P1,2,M4,type:story;area:data
E16-S2,Story,E16,Auto organizer profiles,,,,,,5,P1,2,M4,type:story;area:api
E16-S3,Story,E16,Organizer claim & verify,,,,,,5,P1,2,M4,type:story;area:api
E16-S4,Story,E16,Reputation v1 (blocked by E00-S2),,,,,,8,P1,2,M4,type:story;area:trust
E17-S1,Story,E17,RBAC roles + refresh tokens,,,,,,5,P1,2,M4,type:story;area:security
E17-S2,Story,E17,Steward audit log + 2FA + policy approval,,,,,,8,P1,2,M4,type:story;area:security
E18-S1,Story,E18,Embeddings + pgvector HNSW,,,,,,5,P2,3,M5,type:story;area:search;area:ai
E18-S2,Story,E18,Hybrid search RRF + rerank,,,,,,8,P2,3,M5,type:story;area:search
E18-S3,Story,E18,NL query understanding,,,,,,5,P2,3,M5,type:story;area:ai
E19-S1,Story,E19,Subscriptions,,,,,,5,P2,3,M5,type:story;area:api
E19-S2,Story,E19,Weekly digest (opt-in/unsub),,,,,,8,P2,3,M5,type:story;area:api
E19-S3,Story,E19,Notifications,,,,,,5,P2,3,M5,type:story;area:api
E20-S1,Story,E20,Interaction capture (append-only),,,,,,5,P2,3,M5,type:story;area:data
E20-S2,Story,E20,Organizer analytics,,,,,,8,P2,3,M5,type:story;area:api
E20-S3,Story,E20,Attendee analytics/recos,,,,,,8,P2,3,M5,type:story;area:ai
E21-S1,Story,E21,Public API + keys/quotas,,,,,,8,P2,4,M6,type:story;area:api
E21-S2,Story,E21,Conversational assistant,,,,,,13,P2,4,M6,type:story;area:ai
E21-S3,Story,E21,Sponsor dashboards (data-license gated),,,,,,8,P2,4,M6,type:story;area:api
E21-S4,Story,E21,City ecosystem reports,,,,,,5,P2,4,M6,type:story;area:api
E22-S1,Story,E22,Per-city isolation + 2nd-city proof,,,,,,13,P2,4,M6,type:story;area:data
E23,Epic,,Multi-Tenancy,,,E08,,,21,P0,1,M1,type:epic;phase:1;platform
E24,Epic,,Instance Configuration,,,E23,,,21,P0,1,M2,type:epic;phase:1;platform
E25,Epic,,Plugin System,,,"E10,E12,E24",,,26,P1,2,M4,type:epic;phase:2;platform
E26,Epic,,Open-Source Readiness,,,E24,,,16,P1,2,M4,type:epic;phase:2;platform
E23-S1-T1,Task,E23,Generalize migration City->Tenant,"tenant+instance_config tables; tenant_id all tables; (tenant_id,...) unique","core/domain/tenant; all models; migration",E08,"every table tenant-scoped; Lucknow backfilled","migration up/down; backfill",8,P0,1,M1,type:task;area:data;platform
E23-S2-T1,Task,E23,Tenant-resolution middleware,"domain->context; fixed-in-config single-tenant","core/tenancy/*; api/main.py",E23-S1-T1,"correct tenant/request; 404 unknown; single-tenant ignores Host","resolution tests",5,P0,1,M1,type:task;area:api;platform
E23-S3-T1,Task,E23,RLS policies + worker tenant-context,"DB-enforced isolation; jobs carry tenant","migration; workers/*",E23-S1-T1,"isolation at DB; jobs set context","integration",5,P0,1,M1,type:task;area:security;platform
E23-S4-T1,Task,E23,Tenant-isolation test suite + policy detector,"cross-tenant read impossible; missing-policy fails","tests/isolation/*",E23-S3-T1,"A cannot read B; test fails if table lacks policy","CI-gating security tests",3,P0,1,M1,type:test;area:security;platform
E24-S1-T1,Task,E24,Config schema + validated loader,"defaults->config->secrets; fail loud","core/config/*",E23-S1-T1,"invalid config fails; secrets by ref","schema validation tests",8,P0,1,M2,type:task;area:infra;platform
E24-S2-T1,Task,E24,Remove hard-coded Lucknow assumptions,"city defaults, prompt lists, timezone -> config","ingestion/relevance.py; ai prompts; models",E24-S1-T1,"config-over-code CI gate passes; no tenant literal in logic","gate test + unit",8,P0,1,M2,type:refactor;area:ingestion;platform
E24-S3-T1,Task,E24,Themeable frontend from config,"branding/theme/locale/SEO; light-mode","apps/web/*",E24-S1-T1,"branding/theme/language config-driven","component tests",5,P1,1,M2,type:task;area:frontend;platform
E25-S1,Story,E25,Define ports + registry,,,E24-S1-T1,,,8,P1,2,M4,type:story;area:infra;platform
E25-S2,Story,E25,Plugin SDK + conformance harness,,,E25-S1,,,8,P1,2,M4,type:story;area:test;platform
E25-S3,Story,E25,Refactor providers behind ports,,,E25-S1,,,8,P1,2,M4,type:story;area:infra;platform
E25-S4,Story,E25,Second implementations (on demand),,,E25-S3,,,5,P2,2,M4,type:story;area:ai;platform
E26-S1,Story,E26,One-command deploy + _example,,,E24-S1-T1,,,5,P1,2,M4,type:story;area:infra;platform
E26-S2,Story,E26,Docs site + quickstart,,,,,,5,P1,2,M4,type:story;area:docs;platform
E26-S3,Story,E26,Versioning core + plugin-API,,,E25-S1,,,3,P1,2,M4,type:story;area:infra;platform
E26-S4,Story,E26,Contribution workflow + config-over-code CI gate,,,E24-S2-T1,,,3,P1,2,M4,type:story;area:infra;platform
